community,year,events-total,events-red_purple,events-orange,events-yellow,media-seconds-red_purple,median-seconds-orange,median-seconds-yellow
Crofton,2021,265,55,81,129,955,"1,075","1,313"
Errington,2021,203,55,64,84,899,971,"1,316"
Fraser Lake,2024,199,55,60,83,727,786,996
Halfmoon Bay,2020,184,55,45,84,929,"1,147","1,242"
Malahat,2023,153,55,54,42,984,"1,102","1,733"
Pineview FFG,2018,153,55,43,55,874,"1,018","1,341"
Tachie,2022,180,55,51,73,"2,746","2,950","3,180"
Ucluelet,2022,237,55,78,104,819,"1,046","1,131"
Boston Bar,2022,160,54,38,67,"1,103","1,239","1,271"
Boston Bar,2023,181,54,49,78,834,"1,004","1,226"
Cowichan Bay,2020,210,54,66,90,786,808,"1,121"
Galiano Island,2024,258,54,58,141,"1,175","1,676","2,053"
Gold River,2024,178,54,52,71,478,602,890
New Hazelton,2020,192,54,55,83,729,779,861
Sorrento,2023,152,54,49,49,"1,134","1,252","1,589"
Cawston,2023,164,53,40,70,742,805,966
Charlie Lake,2023,171,53,62,54,"1,234","1,124","1,798"
Chetwynd,2018,224,53,61,110,517,593,570
Coombs,2021,132,53,29,50,686,760,"1,020"
Cowichan Bay,2018,194,53,50,91,670,820,"1,013"
Fanny Bay,2018,204,53,60,91,"1,179","1,309",2
Harrison Hot Springs,2018,231,53,58,120,848,988,"1,221"
Kaleden,2020,151,53,40,58,"1,071","1,136","1,299"
Kaleden,2023,147,53,36,57,919,"1,076","1,364"
Sayward,2022,136,53,38,45,"1,763","1,764","1,975"
Tappen,2020,196,53,42,101,"1,358","1,300",157
Taylor,2024,134,53,35,44,"1,143","1,238","1,524"
Witset,2024,176,53,54,65,"1,664","1,764","2,126"
Big White,2023,278,52,73,152,"2,919","3,110","3,605"
Bowser,2020,208,52,65,91,642,645,"1,101"
Charlie Lake,2018,130,52,26,52,"1,094",971,105
Charlie Lake,2020,114,52,21,41,"1,205","1,251",114
Clearwater,2020,232,52,56,124,574,586,653
Coldwater,2024,136,52,32,49,858,"1,035","1,171"
Greenwood,2024,137,52,32,52,540,524,"1,117"
Invermere,2020,308,52,103,153,464,474,537
Kaleden,2022,155,52,44,58,895,"1,223","1,447"
Lac La Hache,2024,116,52,22,41,"1,455","1,467","1,805"
Lone Butte,2024,130,52,31,47,"1,031","1,114","1,516"
Rossland,2019,237,52,62,123,"1,255","1,246",5
Rossland,2021,241,52,62,127,"1,063","1,386",373
Rossland,2022,229,52,74,103,952,"1,095","1,404"
Blind Bay,2019,190,51,51,88,29,28,336
Bowser,2019,202,51,60,91,559,520,776
Clinton,2023,167,51,39,76,735,728,"1,022"
Fraser Lake,2023,208,51,57,99,"1,261","1,365","1,783"
Granisle,2024,157,51,49,57,"1,063","1,304","1,234"
Moricetown - Witset FN,2020,171,51,41,79,212,255,551
Nakusp,2023,183,51,56,76,642,589,750
New Hazelton,2024,153,51,46,53,794,850,"1,084"
Popkum,2018,187,51,52,84,903,"1,029","1,200"
Roberts Creek,2022,243,51,81,110,801,916,"1,157"
Salmo,2018,296,51,94,151,"1,141","1,239","1,414"
Valemount,2023,300,51,77,163,460,518,666
Warfield,2023,135,51,34,49,662,748,"1,044"
Alert Bay,2022,234,50,78,105,"1,219","1,205","1,379"
Crofton,2018,254,50,73,131,928,944,"1,206"
Gitanmaax,2019,206,50,54,102,523,486,622
Hatzic,2022,189,50,66,73,"1,306","1,392","1,689"
Kitamaat Village,2021,140,50,29,61,957,"1,044","1,107"
North Pender Island,2021,243,50,77,116,"1,076","1,145","1,397"
North Pender Island,2022,220,50,76,92,"1,165","1,272","1,509"
Ucluelet,2020,200,50,61,89,922,"1,074","1,212"
Erickson,2024,138,49,36,51,851,810,934
Gitanmaax,2023,224,49,70,104,569,598,689
Lake Errock,2019,160,49,44,67,44,3,521
Malahat,2019,134,49,35,50,923,"1,063","1,306"
North Westside,2018,160,49,43,68,416,569,839
Radium Hot Springs,2024,135,49,35,49,"1,194","1,285","1,629"
Tappen,2018,161,49,44,68,"1,075","1,365",221
Coldwater,2023,122,48,28,46,934,"1,119","1,312"
Cowichan Bay,2019,183,48,43,92,801,772,"1,068"
Fort Nelson,2018,229,48,66,115,428,415,445
Fraser Lake,2021,201,48,58,95,"1,160","1,192","1,399"
Gold River,2018,169,48,40,81,817,897,"1,143"
Halfmoon Bay,2021,212,48,63,101,947,"1,126","1,371"
Kispiox,2021,128,48,29,51,"1,221",144,29
Lower Nicola,2021,146,48,34,64,780,815,"1,101"
Madeira Park,2021,218,48,59,111,"1,017","1,164","1,340"
Penelakut Island,2022,179,48,50,78,"1,263","1,455","1,603"
Port McNeill,2018,213,48,76,89,796,544,625
Sayward,2023,157,48,50,59,"1,733","1,448","1,639"
Sun Peaks,2024,213,48,74,88,"2,628","2,965","3,494"
108 Mile Ranch,2023,156,47,42,66,967,"1,048","1,183"
Big White,2024,275,47,102,124,"3,081","3,211","3,576"
Coquihalla,2021,79,47,12,20,626,834,749
Denman Island,2021,220,47,65,108,"1,032","1,174",71
Gitanmaax,2021,186,47,55,84,530,658,705
Gitwangak,2024,133,47,33,53,"2,285","2,605","2,909"
Gold River,2023,159,47,56,53,774,"1,087","1,329"
Halfmoon Bay,2022,172,47,63,61,"1,063","1,130","1,422"
Nakusp,2018,190,47,36,107,738,691,"1,035"
Port McNeill,2020,231,47,75,109,480,587,631
Rossland,2020,242,47,60,135,"1,243","1,226",100
Valemount,2019,347,47,76,224,783,820,852
Boston Bar,2021,203,46,54,103,"1,193","1,171",78
Cawston,2022,159,46,36,77,689,"1,164","1,037"
East Sooke,2018,151,46,47,58,37,94,641
Granisle,2023,160,46,44,68,908,"1,178","1,106"
Malahat,2021,147,46,44,57,982,"1,012","1,229"
Ucluelet,2019,221,46,65,110,908,969,"1,042"
Christina Lake,2019,120,45,27,48,"1,329","1,354",173
Denman Island,2022,183,45,56,81,878,"1,174","1,523"
Erickson,2022,142,45,36,60,739,869,"1,089"
Hornby Island,2024,145,45,30,69,"1,597","1,551","2,216"
Kaleden,2018,150,45,37,68,901,"1,147","1,279"
Lower Nicola,2022,161,45,50,65,850,874,"1,258"
Malahat,2018,136,45,34,57,947,"1,102","1,263"
Malahat,2020,138,45,27,66,877,985,"1,247"
Pouce Coupe,2018,139,45,33,61,746,795,"1,128"
Radium Hot Springs,2021,160,45,51,64,"1,128","1,176","1,388"
Tachie,2020,166,45,42,79,"1,283","1,327",211
Blind Bay,2018,198,44,64,90,"1,375",24,354
Christina Lake,2020,138,44,26,68,"1,362",18,168
Christina Lake,2023,138,44,37,56,"1,342","1,335","1,710"
East Sooke,2023,156,44,54,56,"1,491","1,839","2,471"
Errington,2018,176,44,59,73,718,796,"1,107"
Errington,2020,186,44,48,94,813,816,"1,098"
Hazelton,2019,138,44,35,59,504,463,588
Lone Butte,2023,121,44,28,49,"1,079","1,123","1,410"
Lower Nicola,2020,149,44,38,67,894,838,"1,125"
Lower Nicola,2023,175,44,66,63,951,"1,069","1,232"
Mackenzie,2019,190,44,49,97,939,885,"1,059"
Nakusp,2019,219,44,55,120,902,907,"1,064"
Pender Island,2024,149,44,41,62,"3,441","3,755","3,968"
Pouce Coupe,2021,147,44,39,64,723,772,899
Roberts Creek,2019,219,44,72,103,776,842,"1,013"
Sorrento,2020,154,44,36,74,"1,102","1,297","1,419"
Ucluelet,2018,211,44,57,110,844,856,976
Warfield,2024,136,44,36,56,701,747,965
Boston Bar,2020,178,43,52,83,"1,121","1,025",136
Christina Lake,2022,157,43,50,63,"1,413","1,500","1,682"
Elkford,2020,197,43,54,100,"1,177","1,038","1,172"
Fraser Lake,2022,254,43,86,124,"1,195","1,347","1,989"
108 Mile Ranch,2022,152,42,47,61,987,"1,050","1,254"
Boston Bar,2019,157,42,43,72,875,"1,089","1,356"
Bowser,2021,201,42,64,95,848,"1,039","1,274"
Erickson,2018,134,42,33,59,696,747,824
Fraser Lake,2019,150,42,36,72,"1,077","1,045","1,274"
Greenwood,2023,119,42,33,43,"1,035",736,995
Kispiox,2022,150,42,42,66,"1,269","1,336","1,595"
Kitamaat Village,2024,147,42,46,58,"1,079","1,107","1,342"
Lac La Hache,2020,146,42,38,66,"1,361",48,386
Lake Errock,2023,137,42,37,57,"1,314","1,581","2,039"
Lee Creek,2020,145,42,55,48,"1,055","1,193","1,328"
Lee Creek,2021,140,42,40,58,"1,089","1,177","1,314"
Sayward,2019,121,42,30,49,"1,114","1,379","1,396"
Telkwa,2019,145,42,49,54,"1,224","1,094","1,379"
Big White,2022,287,41,69,176,"2,820","3,395","3,465"
Cawston,2018,106,41,24,41,750,690,906
Coldwater,2022,122,41,34,46,"1,120","1,219","1,230"
Fraser Lake,2020,162,41,44,77,"1,118","1,080","1,328"
Hatzic,2018,160,41,42,77,"1,052","1,061","1,287"
Telkwa,2023,128,41,39,47,"1,198","1,190","1,590"
Ucluelet,2021,204,41,62,101,996,"1,018","1,176"
Clinton,2018,131,40,28,63,"1,019","1,202",149
Coombs,2022,148,40,58,50,790,836,"1,267"
East Sooke,2019,132,40,45,47,"1,345",100,489
Hazelton,2024,122,40,24,55,606,769,719
Kaleden,2024,116,40,37,38,936,"1,095","1,826"
Lac La Hache,2022,132,40,42,50,"1,550","1,781","2,230"
Moberly Lake,2024,143,40,51,51,"1,389","1,775","1,872"
Nakusp,2022,178,40,62,75,"1,031","1,028","1,569"
North Westside,2021,142,40,41,61,247,742,915
Warfield,2022,144,40,42,61,679,796,"1,063"
Cawston,2021,151,39,43,69,898,909,907
Galiano Island,2021,189,39,60,90,90,126,295
Galiano Island,2023,187,39,51,92,"1,941","1,528","1,970"
Gitanmaax,2018,162,39,39,84,440,564,628
Kaleden,2021,143,39,38,66,942,"1,057","1,245"
Lac La Hache,2018,101,39,21,41,97,98,528
Lac La Hache,2021,122,39,31,52,"1,401",206,483
Lac La Hache,2023,117,39,38,40,"1,646","1,635","1,856"
Penelakut Island,2023,181,39,54,84,995,"1,039","1,256"
Sorrento,2019,140,39,38,63,"1,067","1,133","1,404"
Taylor,2022,147,39,46,62,"1,187","1,374","1,599"
Black Creek,2020,198,38,55,105,"1,430",90,418
Bowser,2018,180,38,51,91,753,717,"1,033"
Cawston,2019,121,38,29,54,787,715,990
Cawston,2020,126,38,31,57,759,898,868
Gold River,2022,152,38,39,74,606,"1,074","1,324"
Hazelton,2020,111,38,29,44,505,606,606
Kispiox,2024,113,38,22,53,"1,139","1,796","1,748"
Lytton,2019,175,38,33,104,"1,146",956,"1,228"
Mayne Island,2022,183,38,65,73,"1,225","1,237","1,516"
Royston,2018,127,38,27,62,774,747,"1,023"
Sointula,2024,161,38,49,73,929,904,"1,369"
Telkwa,2018,132,38,28,66,910,"1,132","1,307"
Telkwa,2022,135,38,44,53,"1,136","1,241","1,544"
Valemount,2020,316,38,62,216,806,917,896
Big White,2019,231,37,51,143,16,"1,150","1,329"
Cache Creek,2019,213,37,62,114,780,852,986
Elkford,2021,164,37,48,79,"1,036","1,082","1,312"
Erickson,2020,136,37,37,62,768,752,875
Greenwood,2022,120,37,32,50,903,922,"1,728"
Hazelton,2022,125,37,35,51,696,623,773
Mackenzie,2018,171,37,46,88,979,924,"1,004"
Otter Point,2022,161,37,56,66,793,930,"1,155"
Pineview FFG,2019,120,37,32,51,914,981,"1,405"
Pineview FFG,2021,96,37,25,34,907,"1,165",9
Port Renfrew,2022,163,37,45,74,"1,320","1,636","2,030"
Tachie,2019,134,37,38,59,"1,342","1,146",73
Charlie Lake,2019,102,36,25,41,996,962,"1,337"
Coombs,2019,174,36,53,85,665,708,880
Cultus Lake,2018,196,36,65,95,993,"1,235",130
East Sooke,2020,145,36,44,65,60,283,416
Erickson,2021,112,36,28,48,678,898,967
Kaslo,2023,121,36,31,52,"1,157",859,"1,267"
Kispiox,2023,123,36,38,49,"1,130","1,524","1,682"
Kitamaat Village,2022,130,36,36,57,"1,058","1,053","1,281"
Lone Butte,2022,112,36,33,42,"1,156","1,200","1,482"
Mayne Island,2023,189,36,59,91,"1,115","1,263","1,559"
New Hazelton,2021,158,36,44,78,800,803,948
North Pender Island,2018,202,36,59,107,"1,323","1,231",133
Pineview FFG,2020,117,36,24,57,916,947,79
Royston,2021,131,36,39,56,690,824,971
Telkwa,2020,125,36,42,47,985,"1,120","1,277"
Warfield,2020,117,36,30,51,686,719,831
108 Mile Ranch,2020,148,35,58,55,912,955,"1,183"
Elkford,2019,142,35,41,66,"1,173","1,036","1,240"
Gitwangak,2019,133,35,34,64,459,751,911
Halfmoon Bay,2019,164,35,35,94,847,"1,148","1,361"
North Shore,2020,121,35,43,43,762,965,"1,047"
Radium Hot Springs,2020,112,35,28,49,"1,100","1,098",3
Radium Hot Springs,2022,131,35,47,49,"1,143","1,165","1,391"
Sayward,2021,124,35,44,45,121,249,94
Sun Peaks,2019,244,35,55,154,11,"1,327",314
Telkwa,2021,126,35,41,50,"1,024","1,266","1,274"
Valemount,2021,311,35,76,200,909,825,918
Witset,2022,114,35,32,47,"1,740","1,850","2,301"
108 Mile Ranch,2021,108,34,31,43,878,997,"1,165"
Bella Bella,2023,122,34,38,49,"1,117","1,119","1,295"
Big White,2020,204,34,62,108,161,45,410
Elkford,2018,141,34,35,72,966,"1,039","1,327"
Errington,2019,155,34,44,77,768,869,"1,071"
Lake Errock,2021,146,34,54,58,68,53,554
Moricetown - Witset FN,2018,152,34,40,78,303,171,564
Moricetown - Witset FN,2019,120,34,28,58,44,258,542
North Pender Island,2019,198,34,54,110,"1,148","1,393",87
North Shore,2018,138,34,43,61,781,883,"1,055"
Otter Point,2019,143,34,43,66,838,977,"1,036"
Otter Point,2021,157,34,45,78,"1,173","1,005",981
Radium Hot Springs,2023,118,34,46,36,"1,134","1,165","1,381"
Balfour,2020,112,33,27,52,180,294,602
Coombs,2018,170,33,46,91,653,643,890
Denman Island,2020,191,33,48,110,"1,318","1,361",9
Fort Fraser,2023,113,33,35,45,"1,671","1,733","2,601"
Fort Fraser,2024,106,33,28,45,"1,381","1,387","2,182"
Galiano Island,2018,178,33,51,94,"1,339","1,399",253
Galiano Island,2022,196,33,66,93,"1,681","1,741","1,934"
Gitwangak,2020,139,33,40,66,520,729,"1,100"
Pender Island,2023,135,33,51,50,"3,242","3,437","3,320"
Royston,2020,115,33,30,52,686,801,892
Sointula,2022,123,33,28,62,950,889,"1,343"
Balfour,2018,121,32,37,52,93,186,500
Christina Lake,2018,117,32,32,53,65,53,220
Gitanmaax,2020,151,32,41,78,491,557,643
Gitwangak,2018,126,32,34,60,529,777,"1,022"
Halfmoon Bay,2018,140,32,36,72,990,"1,107","1,236"
Lower Nicola,2018,151,32,54,65,843,961,"1,169"
Mayne Island,2018,180,32,59,89,"1,207","1,245","1,404"
New Hazelton,2022,133,32,38,63,714,857,"1,040"
Otter Point,2018,140,32,40,68,886,859,"1,055"
Otter Point,2020,171,32,53,86,935,860,"1,163"
Warfield,2018,110,32,31,47,634,715,879
East Sooke,2022,113,31,37,44,"1,638","1,560","2,228"
Hornby Island,2019,165,31,45,89,145,78,166
Kispiox,2018,131,31,31,69,"1,139","1,082","1,234"
Lake Errock,2022,114,31,30,53,"1,704","1,753","2,305"
Lee Creek,2019,81,31,19,31,"1,041","1,279","1,320"
Port Renfrew,2023,152,31,39,80,"1,252","1,512","1,947"
Bella Bella,2022,123,30,43,49,988,"1,022","1,410"
Fort Fraser,2022,141,30,46,65,"1,755","1,750","2,420"
Granisle,2022,126,30,42,54,"1,330",975,"1,321"
Hazelton,2021,133,30,49,54,550,679,844
Kaslo,2022,126,30,49,47,"1,156","1,339","1,370"
Lac La Hache,2019,117,30,31,56,97,44,381
Midway,2019,202,30,44,128,811,746,919
North Shore,2021,116,30,30,56,853,825,"1,027"
Sayward,2020,118,30,28,60,"1,369",277,319
Sointula,2023,143,30,54,58,947,"1,069","1,612"
Sun Peaks,2022,206,30,67,108,"3,038","3,168","3,607"
Sun Peaks,2023,175,30,70,73,"2,760","3,195","3,777"
Warfield,2019,123,30,43,50,612,682,840
108 Mile Ranch,2019,122,29,30,63,902,956,"1,093"
Erickson,2019,96,29,25,42,922,700,859
Erickson,2023,114,29,34,51,700,750,"1,017"
Highlands,2020,123,29,34,60,879,"1,018","1,429"
Lee Creek,2018,103,29,27,47,952,"1,210","1,256"
Mayne Island,2019,170,29,49,92,"1,277","1,302",29
New Hazelton,2019,139,29,36,74,687,711,840
Penelakut Island,2019,123,29,33,61,"1,000","1,428",407
Penelakut Island,2021,169,29,28,112,"1,294",54,"1,399"
Sayward,2018,114,29,31,54,"1,157",999,270
Sorrento,2021,196,29,53,114,"1,099","1,143","1,357"
Warfield,2021,124,29,34,61,657,763,"1,006"
East Sooke,2021,102,28,37,37,145,220,775
Kitamaat Village,2023,122,28,38,55,"1,025","1,071","1,258"
Midway,2018,202,28,46,128,913,791,836
New Hazelton,2023,132,28,43,59,730,880,944
North Shore,2019,118,28,32,58,703,839,863
Radium Hot Springs,2019,114,28,36,50,"1,092","1,129","1,355"
Boston Bar,2018,165,27,40,98,"1,015",943,"1,276"
Clinton,2019,126,27,39,60,"1,108","1,113","1,141"
Coombs,2020,153,27,30,96,692,719,931
Kispiox,2020,126,27,39,60,"1,114","1,248","1,398"
Moberly Lake,2021,132,27,36,69,552,731,969
Moberly Lake,2022,173,27,33,109,"1,384","1,449","1,833"
Tachie,2018,104,27,30,47,"1,242","1,159",8
Big White,2018,249,26,70,153,"1,238","1,424",417
Galiano Island,2019,164,26,48,90,134,543,496
Highlands,2018,110,26,34,50,891,"1,037","1,362"
Lake Errock,2018,113,26,34,53,"1,386",93,381
Lake Errock,2020,138,26,50,62,"1,285",19,443
Clinton,2022,147,25,44,77,"1,428","2,146","2,096"
Galiano Island,2020,166,25,44,97,"1,346",190,498
Hazelton,2018,107,25,28,54,561,471,582
Highlands,2019,107,25,35,47,765,975,103
Hornby Island,2023,142,25,43,72,"1,556","1,713","2,031"
Kaleden,2019,105,25,27,53,"1,005","1,001","1,246"
Mayne Island,2020,125,25,43,57,"1,269","1,317",58
Sorrento,2018,108,25,29,54,"1,057","1,051","1,253"
West Fernie,2018,138,25,21,92,858,694,884
Balfour,2019,115,24,32,59,141,134,415
Balfour,2021,114,24,40,50,271,204,489
Clinton,2021,140,24,41,75,96,"1,214",771
Gitwangak,2022,146,24,47,73,"2,500","2,645","2,872"
Hornby Island,2018,133,24,48,61,636,342,800
Mayne Island,2021,157,24,59,74,"1,341","1,327",125
Moricetown - Witset FN,2021,147,24,47,76,221,293,505
West Fernie,2019,118,24,21,73,700,717,883
108 Mile Ranch,2018,122,23,38,61,852,972,"1,235"
Bella Bella,2021,122,23,45,54,"1,224","1,244",70
Hornby Island,2021,141,23,41,77,270,354,"1,266"
Kitamaat Village,2019,111,23,24,64,899,999,"1,131"
Midway,2020,139,23,38,78,900,908,"1,014"
New Hazelton,2018,119,23,30,66,777,630,879
Penelakut Island,2020,150,23,38,89,"1,185","1,230",28
Radium Hot Springs,2018,73,23,17,33,"1,073","1,075","1,223"
Royston,2019,85,23,21,41,659,779,"1,029"
Sun Peaks,2018,225,23,42,160,182,"1,107",113
Bella Bella,2018,111,22,39,50,70,52,"1,279"
Bella Bella,2019,115,22,36,57,"1,292","1,342",16
Big White,2021,177,22,50,105,"1,400",7,651
Clinton,2020,121,22,37,62,"1,357","1,035","1,373"
Kispiox,2019,101,22,21,58,"1,070","1,209","1,238"
Moberly Lake,2019,135,22,31,82,"1,314","1,272",176
Port Renfrew,2019,107,22,20,65,"1,206","1,331",42
West Fernie,2023,150,22,38,89,928,937,"1,065"
Denman Island,2018,126,21,48,57,"1,354","1,389",69
Port Renfrew,2020,91,21,23,47,"1,252",50,9
Port Renfrew,2021,170,21,48,101,"1,147",326,314
Denman Island,2019,209,20,48,141,"1,374","1,431",52
Gitwangak,2021,87,20,22,45,872,"1,129","1,098"
Highlands,2021,140,20,38,82,848,"1,020",89
Hornby Island,2022,138,19,41,76,"1,536","1,900","2,267"
Midway,2021,131,19,33,79,848,"1,190","1,148"
Moberly Lake,2018,78,19,23,36,116,"1,417",365
Pender Island,2022,88,19,22,44,"3,515","3,029","3,507"
Port Renfrew,2018,120,19,39,62,942,"1,158",215
Sun Peaks,2021,181,19,53,109,"1,369",27,564
West Fernie,2024,126,19,31,73,791,841,"1,233"
Bella Bella,2020,126,18,49,59,"1,104","1,315","1,316"
West Fernie,2022,120,18,31,71,668,"1,105",946
Moberly Lake,2020,136,17,37,82,"1,429",355,648
Penelakut Island,2018,114,17,35,62,772,39,92
West Fernie,2020,116,17,31,68,671,772,940
Hornby Island,2020,116,16,32,68,"1,367",232,"1,092"
West Fernie,2021,103,15,25,63,917,797,999
Sun Peaks,2020,182,14,40,128,"1,185","1,230",405
Kitamaat Village,2018,143,13,29,101,932,"1,011","1,103"
Lytton,2021,57,13,15,29,"1,181","1,293","1,180"
Lytton,2020,83,12,21,50,"1,142","1,086","1,212"
