community,year,events-total,events-red_purple,events-orange,events-yellow,media-seconds-red_purple,median-seconds-orange,median-seconds-yellow
Port Coquitlam,2021,5035,1369,1704,1962,749,"1,005",187
Courtenay,2021,5241,1368,1577,2296,508,628,872
Mission,2021,5028,1328,1636,2064,590,760,974
West Vancouver,2023,4673,1322,1543,1756,888,"1,209","1,756"
Terrace,2024,3132,1307,876,934,487,581,776
Campbell River,2020,5069,1280,1479,2310,506,573,754
Parksville,2024,3969,1245,1074,1621,598,671,"1,011"
West Kelowna,2021,5581,1219,1637,2725,545,674,942
Campbell River,2019,4841,1215,1428,2198,506,569,713
Langford,2022,4501,1206,1394,1873,546,664,"1,162"
Port Coquitlam,2020,4859,1201,1552,2106,658,828,"1,245"
Port Coquitlam,2019,4835,1199,1560,2076,640,821,"1,198"
West Kelowna,2019,4839,1196,1331,2312,518,574,799
Port Alberni,2021,4481,1174,1310,1997,499,583,749
Campbell River,2018,4636,1171,1354,2111,495,532,690
Mission,2019,4520,1163,1343,2014,547,602,783
Parksville,2023,4186,1153,1295,1707,605,712,"1,088"
West Kelowna,2020,5258,1150,1575,2533,525,614,820
Salmon Arm,2024,3789,1146,1075,1543,537,609,819
Mission,2020,4563,1120,1417,2026,566,618,830
Terrace,2023,2991,1114,916,946,510,607,866
Cranbrook,2023,3811,1108,1204,1490,471,556,758
Port Coquitlam,2018,4690,1095,1457,2138,630,783,"1,142"
Williams Lake,2024,2943,1089,825,1011,509,588,873
Terrace,2022,3042,1088,914,1023,551,642,865
Port Hardy,2024,2391,1077,561,743,458,581,761
Courtenay,2020,4374,1069,1247,2058,558,646,859
West Vancouver,2022,4456,1049,1615,1758,901,"1,152","1,622"
Langford,2021,4384,1023,1305,2056,500,593,856
West Vancouver,2019,5047,1009,1636,2402,693,811,"1,144"
Quesnel,2024,2939,1008,764,1152,563,648,852
West Kelowna,2018,4503,1007,1245,2251,589,649,910
Mission,2018,4394,1004,1175,2215,538,588,760
Courtenay,2019,4083,1001,1145,1937,529,630,801
West Vancouver,2021,4525,989,1499,2037,813,991,34
Port Alberni,2018,3806,970,1028,1808,522,585,690
Courtenay,2018,4064,968,1228,1868,537,621,797
Port Alberni,2019,3814,963,1004,1847,525,591,710
Salmon Arm,2023,3706,961,1134,1595,532,613,774
Langford,2019,3738,946,1053,1739,480,549,736
Fort St John,2024,2640,940,746,936,457,551,728
West Vancouver,2018,4976,936,1514,2526,644,769,"1,122"
Fort St John,2023,2900,924,897,1069,442,500,679
Port Alberni,2020,4077,921,1196,1960,537,624,781
Williams Lake,2023,2756,904,911,931,505,616,863
Langford,2020,3893,876,1190,1827,487,572,793
Port Hardy,2023,2191,868,630,679,489,613,800
Powell River,2024,2744,863,795,1075,526,598,878
West Vancouver,2020,4683,859,1429,2395,737,846,"1,234"
Terrace,2021,2836,852,758,1226,523,620,717
White Rock,2024,2554,830,803,886,931,"1,564","2,283"
Parksville,2022,3524,823,1089,1594,594,714,"1,047"
Langford,2018,3452,806,961,1685,477,540,747
Quesnel,2023,2657,800,784,1059,558,612,820
Sooke,2024,2102,795,576,711,562,705,"1,185"
Terrace,2019,2558,778,645,1135,474,555,642
Prince Rupert,2024,2152,773,583,777,529,614,818
Cranbrook,2022,3294,753,1030,1486,485,590,807
Qualicum Beach,2024,2631,752,688,1177,744,853,"1,122"
Parksville,2019,3334,750,919,1665,513,533,691
Central Saanich,2024,2226,741,573,894,676,796,"1,045"
Williams Lake,2022,2445,741,765,924,564,699,895
Terrace,2020,2649,736,775,1138,490,559,673
Parksville,2021,3502,735,1074,1693,576,646,895
Salmon Arm,2022,3178,735,980,1443,609,675,880
Port Moody,2024,1891,723,577,550,832,"1,236","1,665"
Sechelt,2024,2257,710,635,900,520,656,823
Nelson,2024,1977,703,547,715,482,590,767
Parksville,2018,3042,703,831,1508,488,514,667
Salmon Arm,2021,3070,690,934,1446,582,648,810
Qualicum Beach,2023,2742,689,766,1261,731,837,"1,185"
Powell River,2023,2606,684,819,1083,548,603,872
Prince Rupert,2019,2442,681,583,1178,438,484,545
Cranbrook,2021,3136,679,870,1587,456,551,704
Quesnel,2022,2350,679,679,974,605,706,822
Esquimalt,2024,2117,668,630,781,599,746,"1,488"
Parksville,2020,3237,661,902,1674,541,579,783
Powell River,2022,2709,657,888,1134,520,585,820
Esquimalt,2023,2024,656,617,742,606,774,"1,572"
Quesnel,2021,2496,656,710,1130,584,628,744
Squamish,2024,1904,655,563,668,653,761,983
Quesnel,2020,2532,654,703,1175,508,616,641
Prince Rupert,2022,2193,651,643,891,555,640,764
Terrace,2018,2457,647,627,1183,444,514,633
White Rock,2023,2412,646,888,833,"1,019","1,662","2,688"
Dawson Creek,2023,2139,644,653,826,450,531,742
Prince Rupert,2021,2456,639,691,1126,522,612,682
Prince Rupert,2023,2118,639,649,827,536,620,772
Port Moody,2023,1795,634,607,513,895,"1,295","2,160"
Williams Lake,2021,2479,634,720,1125,504,626,738
Dawson Creek,2024,2096,633,623,825,460,540,753
Colwood,2024,1882,624,502,732,694,854,"1,477"
Fort St John,2022,2212,622,684,895,501,557,725
Pitt Meadows,2024,1608,610,428,527,828,"1,140","1,481"
Merritt,2024,1846,604,496,733,506,570,767
Prince Rupert,2020,2441,600,622,1219,442,516,567
Cranbrook,2018,2821,596,694,1531,448,487,581
Quesnel,2019,2191,593,576,1022,490,534,602
Comox,2024,1791,585,498,696,726,894,"1,296"
Sidney,2024,2166,584,586,973,545,665,"1,042"
Cranbrook,2019,2714,578,715,1421,440,489,610
Trail,2023,1893,576,558,754,492,615,825
View Royal,2024,1469,571,409,465,639,749,"1,409"
Salmon Arm,2020,2711,570,803,1338,569,595,738
Salmon Arm,2019,2742,569,764,1409,561,607,712
Port Hardy,2022,1624,567,470,584,498,617,778
Powell River,2021,2608,562,812,1234,579,592,744
Sechelt,2023,2134,559,648,917,511,578,799
Prince Rupert,2018,2113,558,608,947,409,436,537
Nelson,2023,1742,557,533,641,464,543,748
Esquimalt,2019,2196,556,615,1025,497,600,931
Pitt Meadows,2023,1644,553,497,568,816,"1,187","1,851"
Fort St John,2018,2170,551,571,1048,423,467,539
Qualicum Beach,2022,2508,551,809,1137,791,849,"1,137"
Central Saanich,2023,2146,550,592,990,671,788,"1,177"
Qualicum Beach,2021,2529,547,719,1263,756,810,"1,040"
Sooke,2023,1829,547,601,673,601,681,989
Williams Lake,2020,2161,547,634,980,527,554,663
Cranbrook,2020,2776,546,759,1471,454,498,642
Fort St John,2021,2271,546,672,1053,478,552,621
Trail,2024,1691,546,465,674,539,641,865
Ladysmith,2024,1617,545,463,601,651,824,"1,141"
Fort St John,2019,2259,543,619,1097,399,475,561
White Rock,2022,2201,543,843,789,"1,031","1,768","2,981"
Port Hardy,2019,1421,540,383,498,484,591,685
Qualicum Beach,2019,2209,535,596,1078,680,701,841
Williams Lake,2019,2142,533,621,988,492,564,677
Oak Bay,2024,1746,532,464,720,665,833,"1,646"
Colwood,2023,1804,526,559,709,673,851,"1,494"
Port Hardy,2021,1637,523,435,679,437,561,673
Salmon Arm,2018,2648,519,741,1388,551,632,721
Port Moody,2022,1645,515,564,536,882,"1,285","2,006"
White Rock,2021,2467,515,872,1080,843,"1,150",845
Esquimalt,2018,2180,512,634,1034,501,585,930
Fort St John,2020,2293,510,659,1124,460,499,581
Port Hardy,2018,1425,508,377,540,496,614,674
Hope,2024,1491,507,378,597,600,684,839
View Royal,2023,1444,505,449,483,613,790,"1,468"
Gibsons,2024,1827,503,515,799,522,593,805
Powell River,2019,2207,503,641,1063,664,673,810
White Rock,2018,2563,503,775,1285,644,750,"1,035"
Pitt Meadows,2022,1645,500,515,612,838,"1,279","1,740"
Sidney,2023,2205,498,658,1043,574,664,873
View Royal,2022,1521,498,462,551,655,805,"1,258"
Williams Lake,2018,1969,498,515,956,534,579,673
Hope,2022,1631,495,513,616,642,803,982
Quesnel,2018,1910,495,505,910,497,529,570
Sechelt,2022,1928,488,629,804,536,601,858
Qualicum Beach,2020,2343,485,675,1183,689,727,903
Esquimalt,2022,1970,481,680,794,588,732,"1,478"
Summerland,2024,1626,479,441,699,548,603,777
Ladysmith,2023,1638,477,498,657,599,733,"1,111"
Comox,2023,1719,475,555,683,697,833,"1,099"
Powell River,2018,2072,474,603,995,606,637,757
Esquimalt,2021,2059,473,636,950,536,648,"1,133"
Oak Bay,2023,1701,472,547,675,671,826,"1,555"
Qualicum Beach,2018,2022,472,528,1022,674,639,794
Oliver,2024,1514,470,416,621,583,584,825
Powell River,2020,2343,470,699,1174,645,692,830
Sooke,2022,1775,465,577,715,601,671,913
Agassiz,2024,1381,464,373,532,694,733,861
Colwood,2022,1752,464,547,733,661,798,"1,267"
Hope,2021,1808,463,572,773,599,700,866
Hope,2023,1460,463,439,557,612,666,882
Sooke,2021,1842,463,553,826,570,640,861
White Rock,2019,2510,462,774,1274,642,789,"1,099"
Merritt,2023,1650,452,543,642,477,544,693
Revelstoke,2024,1223,450,362,405,424,471,909
Squamish,2021,1736,448,542,746,582,645,870
Dawson Creek,2022,1883,443,585,840,485,527,736
Esquimalt,2020,1985,443,583,959,532,609,953
Port Moody,2021,1578,441,528,609,762,"1,061",452
White Rock,2020,2439,438,780,1221,643,744,"1,091"
Lake Country,2024,1400,436,424,524,751,840,"1,152"
Pitt Meadows,2021,1617,432,482,703,759,"1,032",129
Merritt,2019,1478,425,382,671,459,490,590
Central Saanich,2019,1816,424,496,896,597,667,824
